customer_id,name,email,phone,signup_date,city
1,Ela Setty,zdas@jha.com,6913424402,2025-03-15,Chennai
2,Ehsaan Kulkarni,datetanya@kala.com,1971586214,2024-08-11,Chennai
3,Ishaan Sule,vardaniyaswaminathan@vyas.com,3380093682,2024-08-16,Chennai
4,Yuvraj  Warrior,aarna70@dash.com,2530563125,2024-10-19,Chennai
5,Kimaya Gopal,hsaini@hotmail.com,1003290150,2024-05-19,Chennai
6,Zara Chatterjee,pranaykonda@hotmail.com,1124616197,2024-05-11,Chennai
7,Himmat Devi,onkarkaran@yahoo.com,918824786769,2025-03-16,Chennai
8,Vaibhav Kothari,himmat07@gmail.com,8042319388,2024-01-29,Chennai
9,Nitya Khurana,hkannan@singh-yohannan.com,913447025104,2025-11-22,Chennai
10,Indrajit Dave,sethishayak@sethi-yadav.com,349938367,2023-12-22,Chennai
11,Zaina Buch,riyadass@gmail.com,7353505236,2024-04-08,Chennai
12,Ivana Master,navya78@yahoo.com,5479886717,2024-06-08,Chennai
13,Dhanuk Sami,onkar03@varty-khare.info,7619770936,2024-05-12,Chennai
14,Anaya Thaman,uchauhan@gmail.com,2739034897,2024-08-11,Chennai
15,Hazel Sridhar,anaybaria@bakshi-dalal.org,2390159437,2025-04-17,Chennai
16,Shalv Bhandari,kanav27@manda.com,910438900715,2024-12-21,Chennai
17,Diya Basak,sandhuzoya@aurora-badami.com,5363914311,2025-06-09,Chennai
18,Neelofar Bir,ramanirvaan@hotmail.com,9511032099,2024-10-13,Chennai
19,Armaan Sengupta,jchana@rajagopal-ramakrishnan.com,3107857621,2024-04-16,Chennai
20,Myra Brahmbhatt,qkara@gmail.com,4388365371,2024-06-05,Chennai
21,Divij Sharma,cherianmamooty@srinivasan.org,912433704823,2024-04-05,Chennai
22,Samaira Cheema,neelofarvaidya@gmail.com,915747194386,2024-02-03,Chennai
23,Jhanvi Subramanian,devivanya@dalia.com,3021761536,2024-06-13,Chennai
24,Ivana Dewan,shlok48@kannan.com,5046226427,2024-04-29,Chennai
25,Ishita Kala,kimaya56@sarma.com,342374960,2025-01-21,Chennai
26,Lavanya Vohra,samairasangha@yahoo.com,918782636269,2024-11-09,Chennai
27,Nitya Karan,qgrewal@kalita.com,911015612907,2024-04-01,Chennai
28,Jayan Bhat,shayakratti@mani.biz,2627550668,2024-04-19,Chennai
29,Sahil Lad,bobalbadal@yahoo.com,910051830643,2025-11-22,Chennai
30,Mannat Sethi,indranil07@chopra-chacko.net,6509913151,2024-03-15,Chennai
31,Anika Barad,rtata@hotmail.com,6818148729,2025-01-19,Chennai
32,Eshani Dhar,mehul90@hotmail.com,6258574723,2024-04-20,Chennai
33,Adah Apte,rshanker@sachdeva-srinivas.org,918999200530,2025-11-20,Chennai
34,Divit Chander,vanya40@dalia.com,9775098512,2024-08-17,Chennai
35,Aarav Bhardwaj,jrastogi@yahoo.com,4539999035,2025-09-21,Chennai
36,Yakshit Lala,dthakur@gole-keer.com,912881259242,2024-10-08,Chennai
37,Vaibhav Bath,kalechirag@rajagopalan.com,8065421133,2024-05-05,Chennai
38,Zara Dugal,zaravarty@hotmail.com,113951769,2025-09-19,Chennai
39,Kashvi Ranganathan,dishani99@gokhale-ray.info,4174075655,2024-04-23,Chennai
40,Kavya Bora,nakul68@chhabra.info,8712549432,2024-01-26,Chennai
41,Amani Gulati,ojoshi@hotmail.com,5396543340,2025-03-06,Chennai
42,Jiya Agrawal,madhup17@barad.com,3224470586,2025-11-04,Chennai
43,Purab Vora,jaggikashvi@dash.com,917407767249,2024-04-26,Chennai
44,Inaaya  Chawla,jbandi@gala.com,7233646010,2024-02-04,Chennai
45,Ritvik Bedi,ghans@mall-dayal.com,407946001,2024-06-27,Chennai
46,Vedika Gokhale,sairatandon@deo-gaba.com,2608430553,2025-01-08,Chennai
47,Shaan Deshmukh,abram80@yahoo.com,911869548443,2025-11-15,Chennai
48,Dishani Bali,bhavinjain@gmail.com,6147209969,2024-01-16,Chennai
49,Hansh Ganguly,vdada@hotmail.com,1834885102,2025-01-14,Chennai
50,Amani Wali,madhavbhatt@hotmail.com,5598450095,2024-06-24,Chennai
51,Elakshi Ray,samiha27@biswas.org,6815626843,2025-02-18,Chennai
52,Biju Bassi,zaina74@gmail.com,910488404707,2024-08-28,Chennai
53,Mahika Bala,jthakkar@gmail.com,9827750233,2023-12-17,Chennai
54,Stuvan Basu,taran21@ramanathan.com,2787754687,2025-02-17,Chennai
55,Taimur Saha,renee73@doshi-chadha.net,5297358090,2024-04-26,Chennai
56,Sara D’Alia,anaychaudhari@hotmail.com,2137781489,2023-12-29,Chennai
57,Kartik Issac,kbajaj@yahoo.com,709269436,2024-02-20,Chennai
58,Adira Divan,sarnaabram@soman.com,910622781967,2023-12-13,Chennai
59,Indrans Ramesh,manjaribhasin@mallick.com,3380819098,2024-12-13,Chennai
60,Aarush Bassi,hunarsharma@gmail.com,914518219442,2025-09-29,Chennai
61,Misha Korpal,krish03@sekhon.com,522193519,2024-08-11,Chennai
62,Nitya Ravel,rattiaarav@tiwari.biz,917274045799,2025-01-12,Chennai
63,Vanya Tiwari,madhupjoshi@bhat.com,6973640903,2024-06-12,Chennai
64,Shray Chanda,lbuch@upadhyay.info,919444281689,2025-03-19,Chennai
65,Mannat Shroff,vyaspiya@hotmail.com,3133281961,2025-08-09,Chennai
66,Purab Gola,aaravcheema@gmail.com,914385918243,2024-09-07,Chennai
67,Shalv Sani,rohandalal@hotmail.com,8986216171,2023-12-25,Chennai
68,Pihu Acharya,sumer90@gmail.com,5844032620,2024-09-10,Chennai
69,Purab Dugar,onkar21@yahoo.com,2602373718,2025-06-24,Chennai
70,Uthkarsh Saini,jayantshukla@yahoo.com,7497098192,2024-06-09,Chennai
71,Rati Sachar,parinaazbasu@sane.biz,416723414,2025-06-11,Chennai
72,Pari Savant,eshanisami@yahoo.com,910792903600,2023-12-28,Chennai
73,Mishti Dutt,brarehsaan@hotmail.com,913705526402,2025-02-06,Chennai
74,Advika Wadhwa,auroraabram@yahoo.com,914038914824,2024-09-07,Chennai
75,Stuvan Bhatnagar,jsem@yahoo.com,918913352822,2024-12-28,Chennai
76,Armaan Buch,badalgade@mandal.biz,913205711401,2024-08-23,Chennai
77,Zeeshan Zacharia,divyanshkapur@sachdeva.com,912870343346,2024-06-08,Chennai
78,Sana Hans,drishyaiyengar@hotmail.com,8073526315,2025-09-16,Chennai
